NomeGruppo		CollaboraLugMap		LinuxDay1	Risposta1	LinuxDay2	Risposta2
Blug			Si			No
LugAnegA		Si			Si
FSUG			Si			No
MonteLug		Si			Null
TVLug			Si			Si
0421ug			Si			Null
VELug			Si			Null
LinuxLudus		Si			No
LugVR			Si			Null
AVi Lug			Si			Si
GrappaFSD		Si			Null
Lug Vicenza		Si			Si
PescaraLug		Si			No
Pilug			Si			Null
SulmonaLug		Si			Si
MarsicaLug		Si			Null
TeLug			Si			No		Si
AnxaLug			Si			Null
ErLug			Si			Si


S.P.R.I.T.e.	No			No		Si
NetGarage		No			No		Si
ImoLUG			Si			Si
UIELinux		Si			Si
FerraraLUG		Si			Null
FoLUG			Si			Null
ConoscereLinux	Si			Null
ParmaLUG		Si			Si
AlfLUG			Si			Null
RavennaLUG		Si			Null
Lug Scandiano	Si			Si
ReLUG			Si			Si
RiminiLUG		Si			Si
ValLUG			Si			No		Si

GoLUG			Si			Null
PordenoneLUG	Si			No
LUG Trieste		Si			Si		Si
IGLU			Si			Null
LugALP			Si			Null

OpenLAB			No			Si
GenuenseLUG		Si			Null
LUGGe			Si			Null
TLUG-TSL		Si			Null
Govonis			Si			Si		Si
SavonaLUG		Si			Null

LUGania			Si			Null		Si
MateraLinux		Si			No		Si
BasLUG			Si			Null
