NOME		LUG?	SitoLD	Risp

BGLug		Si	No	-	-	-
Lug Castegnato	Si	No	-	-	-
LugBS		Si	Si	-	-	-
LugOB		Si	Null	-	-	-
GL-Como		Si	Si	Si	-	-
LUG Crema	Si	Null	-	-	-
LugCR		Si	No	-	-	-
GLUX		Si	Si	-	-	-
LoLUG		Si	Si	-	-	-
LUG Bocconi	Si	Null	-	-	-
MobLUG		Si	Si	-	-	-
LIFOS		Si	No	-	-	-
SIAM		No	Si	-	-	-
OpenLabs	Si	No	-	-	-
POuL		Si	Null	-	-	-
LugMan		Si	Si	-	-	-
TiLUG		Si	No	-	-	-
LUGDucale	Si	No	Si	-	-
GULLP		Si	Null	Si	-	-
LIFO		Si	Null	-	-	-
LinuxVar	Si	Null	-	-	-

GLUS		Si	Null	-	-	-
PaduLUG		Si	No	-	-	-
SannioLUG	Si	Null	-	-	-
Hackaserta	Si	Null	-	-	-
IGLUG		Si	Null	-	-	-
LUG Ischia	Si	Null	-	-	-
NaLUG		Si	Null	-	-	-
OpenMind	Si	Si	-	-	-
HCSSLUG		Si	Si	-	-	-
GuruLUG		Si	Si	-	-	-

Tolerus		No	No	-	-	-
LUG Latina	Si	Null	-	-	-
LUG Rieti	Si	Null	-	-	-
CiLUG		Si	Null	-	-	-
LaSapienzaLUG	Si	Si	-	-	-
LUG Roma 3	Si	Null	-	-	-
SabaziaLUG	Si	Null	-	-	-
TuLUG		Si	Si	-	-	-
