lat	lon	title	description	iconSize	iconOffset	icon
5192213.6489288	1603109.6466103	AnxaLug	<a href="http://www.anxalug.org/">http://www.anxalug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5166690.2561481	1496923.9625473	AvezzanoLUG	<a href="http://avezzanolug.org/">http://avezzanolug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5153751.6342609	1507255.5016275	MarsicaLug	<a href="http://www.marsicalug.it/">http://www.marsicalug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5170976.5786987	1551249.2586581	SulmonaLug	<a href="http://www.sulmonalug.it/">http://www.sulmonalug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5128502.613106	1571998.5430911	LUG CdS	<a href="http://lugcds.wordpress.com/">http://lugcds.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5210943.0583767	1556761.8706722	PescaraLug	<a href="http://www.pescaralug.org/">http://www.pescaralug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5252606.1806362	1562999.1159502	PinetoLUG	<a href="http://www.pilug.org/">http://www.pilug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5258223.1364003	1528076.9064279	TeLug	<a href="http://www.telug.it/">http://www.telug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4934491.4376433	1830812.5560927	LUGania	<a href="http://www.lugania.org/">http://www.lugania.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4934491.4376433	1830812.5560927	MateraLinux	<a href="http://materalinux.mixxt.com/">http://materalinux.mixxt.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4941336.7242613	1768968.0120926	Baslug	<a href="http://www.baslug.org/">http://www.baslug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4706921.1956621	1835766.2496854	HackLab Catanzaro	<a href="http://hacklabcz.com/">http://hacklabcz.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
